lane,word,q
0,0,0
1,33589761,1
2,1140858880,0
3,8454336,1
4,0,1
5,2153775136,1
6,262272,0
7,67648,0
8,67633415,0
9,0,1
10,101318673,0
11,98944,1
12,0,1
13,1149239424,1
14,807403528,0
15,0,0
16,16911360,0
17,0,1
18,2147745857,0
19,8704,1
20,0,1
21,805306386,1
22,2151677952,0
23,536973646,0
24,8865792,0
25,1073741824,1
26,0,0
27,0,1
28,395520,1
29,0,1
30,2230320,0
31,0,0
32,1610622978,0
33,67637248,1
34,0,0
35,18350080,1
36,393216,1
37,0,1
38,67637248,0
39,0,0
40,0,0
41,4210688,1
42,2148532226,0
43,2416193536,1
44,1082130508,1
45,0,1
46,282067202,0
47,536877056,0
48,16810112,0
49,64,1
50,32776,0
51,65569,1
52,0,1
53,0,1
54,0,0
55,8782336,0
56,1077936128,0
57,153256960,1
58,268437504,0
59,8426112,1
60,587203200,1
61,606148610,1
62,643825840,0
63,268439888,0
64,1314816,0
65,0,1
66,0,0
67,302252033,1
68,20971524,1
69,131200,1
70,805371952,0
71,578814084,0
72,268965888,0
73,134217728,1
74,268437504,0
75,0,1
76,2359376,1
77,33555744,1
78,2097168,0
79,64,0
80,0,0
81,0,1
82,0,0
83,0,1
84,16847120,1
85,0,1
86,0,0
87,0,0
88,16949312,0
89,65808,1
90,33554476,0
91,268959744,1
92,0,1
93,0,1
94,167807232,0
95,0,0
96,315009025,0
97,536908296,1
98,0,0
99,64,1
100,1074274562,1
101,0,1
102,33816896,0
103,0,0
104,0,0
105,0,1
106,2156396544,0
107,4542784,1
108,17956868,1
109,0,1
110,0,0
111,0,0
112,0,0
113,0,1
114,0,0
115,0,1
116,1075838988,1
117,67127440,1
118,50332193,0
119,2199552,0
120,966720,0
121,3355443456,1
122,66560,0
123,0,1
124,805306880,1
125,270464,1
126,537927681,0
127,131200,0
128,1174839808,0
129,0,1
130,18997248,0
131,33556497,1
132,20979968,1
133,135794840,1
134,1145078272,0
135,0,0
136,1628046026,0
137,402653192,1
138,2348941320,0
139,8919041,1
140,2059,1
141,34078884,1
142,0,0
143,0,0
144,3087532072,0
145,0,1
146,0,0
147,4526208,1
148,0,1
149,0,1
150,0,0
151,35651584,0
152,0,0
153,0,1
154,2147746468,0
155,1354793344,1
156,1073742875,1
157,197634,1
158,570736656,0
159,0,0
160,0,0
161,33570821,1
162,0,0
163,0,1
164,0,1
165,0,1
166,2424569984,0
167,0,0
168,16777216,0
169,1265690,1
170,0,0
171,0,1
172,136323072,1
173,0,1
174,3490186306,0
175,0,0
176,549585409,0
177,0,1
178,1124074000,0
179,0,1
180,815857672,1
181,3221528576,1
182,0,0
183,536870928,0
184,0,0
185,1057290,1
186,2684381297,0
187,8652928,1
188,33587328,1
189,1073774848,1
190,134221856,0
191,0,0
192,269222170,0
193,3225421824,1
194,0,0
195,0,1
196,268435586,1
197,0,1
198,0,0
199,10485760,0
200,0,0
201,0,1
202,10495010,0
203,0,1
204,0,1
205,272629760,1
206,0,0
207,0,0
208,0,0
209,805601344,1
210,335556096,0
211,0,1
212,0,1
213,65568,1
214,0,0
215,0,0
216,0,0
217,0,1
218,545808416,0
219,1610653704,1
220,2,1
221,2151677952,1
222,2282225664,0
223,0,0
224,301990952,0
225,8912897,1
226,2164260873,0
227,6291864,1
228,419495952,1
229,42056,1
230,0,0
231,0,0
232,0,0
233,5242890,1
234,49156,0
235,5292032,1
236,541204480,1
237,2113800,1
238,69214305,0
239,1124356,0
240,934028,0
241,69468800,1
242,262168,0
243,17825792,1
244,2164261120,1
245,0,1
246,24576,0
247,0,0
248,537002736,0
249,0,1
250,0,0
251,528640,1
252,67108866,1
253,2148614144,1
254,4211462,0
255,0,0
256,0,0
257,0,1
258,2064,0
259,0,1
260,675290146,1
261,0,1
262,65672,0
263,67145728,0
264,33554440,0
265,2157183104,1
266,0,0
267,1350713476,1
268,1073776930,1
269,33554440,1
270,0,0
271,75503616,0
272,0,0
273,2150899744,1
274,33685504,0
