epoch,lane,input_word,q_before,produced,asa,na,hits,output,q_after,blend,blend_known,beta_status,angle_status,beta,raw,principal,line,R_state,R_reason,R_error,W_state,W_reason,W_error,P_state,P_reason,P_error,S_state,S_reason,S_error,F_state,F_reason,F_error,V_state,V_reason,V_error
0,0,3520576695,0,2897784930,612409346,612409346,0,612409346,0,0,0,1,1,,,,,2,1,,2,1,,2,1,,2,1,,2,1,,2,1,
0,1,4167082327,0,4205112618,570460160,33589248,0,33589248,1,1,1,0,0,1.5707963267948966,2.0707963267948966,2.0707963267948966,-1.0707963267948966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,1194013013,0,3914990731,1073741832,1073741832,0,1073741832,0,1,1,0,0,0,1.75,1.75,-1.3915926535897931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,2566903041,0,1330679569,1145044992,1140850688,0,1140850688,1,0,1,0,0,1.0714496051147666,1.1964496051147666,1.1964496051147666,1.1964496051147666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,3697919451,1,1652841063,262759,583,1,0,1,1,1,0,5,0.60374933339743642,,,,2,5,,2,5,,2,5,,2,5,,2,5,,2,5,
0,5,3660597826,1,233618610,82584608,73401376,0,73401376,1,0,1,0,6,-1.2924966677897853,,,,2,6,,2,6,,2,6,,2,6,,2,6,,2,6,
0,6,3970021357,1,940891658,268715008,268697600,0,268697600,0,0,1,0,7,-1.4994888620096063,,,,2,7,,2,7,,2,7,,2,7,,2,7,,2,7,
0,7,3332785441,1,2071781792,843055488,838860928,0,838860928,0,1,1,0,0,-0.86853939528588953,0.63146060471411047,0.63146060471411047,0.63146060471411047,0,0,0,2,100,,0,0,0,0,0,0,0,0,0,0,0,0
0,8,0,0,0,0,0,0,0,0,0,1,0,0,-1.5083775167989393,0.24162248320106072,0.24162248320106072,0.24162248320106072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2204460492503131e-16,0,0,0
0,9,1417148601,0,1817636724,1074954580,1074823508,1,0,1,1,1,0,0,-2.485897027348257,-1.110897027348257,-1.110897027348257,-1.110897027348257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10,2357977589,0,662269757,102302233,101188121,0,101188121,0,1,1,0,0,1.0516502125483738,2.301650212548374,2.301650212548374,-0.83994244104141913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4408920985006262e-16,0,0,0
0,11,114723419,0,2151398227,2147717648,229904,0,229904,1,0,1,0,0,1.3045442776439713,1.3045442776439713,1.3045442776439713,1.3045442776439713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12,3914172007,1,935777393,809800721,272928785,1,0,1,1,1,0,0,1.2870022175865687,2.0370022175865685,2.0370022175865685,-1.1045904360032246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,13,4234521976,1,407662705,268976176,32,0,32,1,0,1,0,0,2.0552742558319199,2.6802742558319199,2.6802742558319199,-0.4613183977578732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,14,216056823,1,35149475,35143810,1065088,0,1065088,0,0,1,0,0,0.11065722117389563,1.1106572211738956,1.1106572211738956,1.1106572211738956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2204460492503131e-16,0,0,0
0,15,3226975607,1,2986208882,2157200992,8652384,1,0,0,1,1,0,0,-0.17670885607003661,1.5732911439299633,1.5732911439299633,-1.5683015096598298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2204460492503131e-16,0,0,4.4408920985006262e-16
0,16,4245909147,0,681389272,535768,535752,0,535752,0,0,1,2,2,,,,,2,2,,2,2,,2,2,,2,2,,2,2,,2,2,
0,17,0,0,0,0,0,0,0,1,1,1,0,0,-3.0221637275714546,-3.0221637275714546,-3.0221637275714546,0.11942892601833854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,18,3382499973,0,1393399615,1359811841,1342969089,1,0,0,1,1,0,0,0.26916749278570046,-0.6058325072142996,-0.6058325072142996,-0.6058325072142996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1102230246251565e-16,0,0,0
0,19,1782476287,0,2164362357,17,16,0,16,1,0,1,0,0,2.1815222911841055,0.80652229118410546,0.80652229118410546,0.80652229118410546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,20,1831257867,1,3657791357,3523487313,3489932305,1,0,1,1,1,0,0,-1.2753554896511765,0.22464451034882349,0.22464451034882349,0.22464451034882349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1102230246251565e-16,0,0,0
0,21,2720854686,1,1145948653,197,193,0,193,1,0,1,0,0,-2.6011731533192091,-2.4761731533192091,-2.4761731533192091,0.66541950027058405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,22,2468357152,1,3778091712,2684354624,2147483712,0,2147483712,0,0,1,0,0,0.28805544705062586,-0.33694455294937414,-0.33694455294937414,-0.33694455294937414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5511151231257827e-17,0,0,0
0,23,2768648197,1,1991142853,872940868,537396548,0,537396548,0,1,1,0,0,-0.51554900745897903,-0.015549007458979025,-0.015549007458979025,-0.015549007458979025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.7144514654701197e-17,0,0,0
0,24,4096148795,0,2191385590,2156216854,2156216852,0,2156216852,0,0,1,0,0,-0.69133692876946196,-2.441336928769462,-2.441336928769462,0.70025572482033116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,25,1177047536,0,1081438907,1077944504,1077944360,0,1077944360,1,1,1,0,0,-2.4275019549776351,-3.9275019549776351,2.3556833522019511,-0.78590930138784199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,26,0,0,0,0,0,0,0,0,1,1,0,0,-0.11065722117389563,-1.9856572211738956,-1.9856572211738956,1.1559354324158975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2204460492503131e-16,0,0,0
0,27,1008839783,0,171668800,33584192,33584192,0,33584192,1,0,1,0,0,-2.0472637462686034,-1.6722637462686034,-1.6722637462686034,1.4693289073211897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,28,2561210929,1,56106785,4197665,4197664,0,4197664,1,1,1,0,0,0.099668652491162038,0.34966865249116202,0.34966865249116202,0.34966865249116202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5511151231257827e-17,0,0,0
