lane,word,q
0,0,0
1,34640129,1
2,0,0
3,0,1
4,0,1
5,0,1
6,1082597606,0
7,0,0
8,0,0
9,0,1
10,0,0
11,0,1
12,0,1
13,0,1
14,874534920,0
15,0,0
16,0,0
17,0,1
18,0,0
19,268542208,1
20,0,1
21,943800338,1
22,2216725528,0
23,0,0
24,277203201,0
25,1493180425,1
26,0,0
27,0,1
28,134572298,1
29,0,1
30,0,0
31,0,0
32,0,0
33,2415919136,1
34,0,0
35,0,1
36,10912000,1
37,0,1
38,642257682,0
39,0,0
40,0,0
41,574636424,1
42,2148536354,0
43,0,1
44,0,1
45,0,1
46,3503292546,0
47,537005104,0
48,16885000,0
49,0,1
50,0,0
51,0,1
52,0,1
53,0,1
54,0,0
55,2696286412,0
56,1078136900,0
57,1231197472,1
58,471869443,0
59,1352307242,1
60,0,1
61,407211010,1
62,0,0
63,1158156370,0
64,18093057,0
65,0,1
66,269811848,0
67,0,1
68,2253467653,1
69,402785888,1
70,304152625,0
71,0,0
72,2148018688,0
73,136445952,1
74,272630552,0
75,0,1
76,1651785755,1
77,0,1
78,149428290,0
79,0,0
80,1,0
81,0,1
82,0,0
83,0,1
84,163336465,1
85,0,1
86,0,0
87,0,0
88,94502980,0
89,0,1
90,0,0
91,985712,1
92,0,1
93,0,1
94,170446660,0
95,0,0
96,59281409,0
97,0,1
98,1,0
99,0,1
100,1350970370,1
101,0,1
102,0,0
103,0,0
104,0,0
105,0,1
106,2198388992,0
107,0,1
108,1628585987,1
109,0,1
110,0,0
111,0,0
112,0,0
113,0,1
114,0,0
115,0,1
116,0,1
117,1151486096,1
118,51384589,0
119,3290532480,0
120,1276035212,0
121,0,1
122,1359873024,0
123,536894982,1
124,2426929664,1
125,0,1
126,0,0
127,3775006860,0
128,0,0
129,0,1
130,19262912,0
131,0,1
132,29892864,1
133,136843398,1
134,0,0
135,0,0
136,0,0
137,0,1
138,1275151289,0
139,74033185,1
140,0,1
141,1644269984,1
142,541884688,0
143,0,0
144,3095658640,0
145,0,1
146,0,0
147,4540548,1
148,0,1
149,0,1
150,0,0
151,2188661764,0
152,0,0
