hop,program_id,version,physical_slot,input,output,next_slot,gate_evaluations,program_bit_reads,valid,page_sweep_checksum,program_word_fetches
0,3,1,3,7,1,0,5,428,1,0,35
1,0,1,0,1,0,1,3,412,1,0,32
2,1,1,1,0,0,2,2,404,1,0,30
3,2,1,2,0,0,0,10,489,1,0,48
4,0,1,0,0,0,1,3,412,1,0,32
5,1,1,1,0,0,2,2,404,1,0,30
6,2,1,2,0,0,0,10,489,1,0,48
7,0,1,0,0,0,1,3,412,1,0,32
8,1,1,1,0,0,2,2,404,1,0,30
9,2,1,2,0,0,0,10,489,1,0,48
10,0,1,0,0,0,1,3,412,1,0,32
11,1,1,1,0,0,2,2,404,1,0,30
12,2,1,2,0,0,0,10,489,1,0,48
13,0,1,0,0,0,1,3,412,1,0,32
14,1,1,1,0,0,2,2,404,1,0,30
15,2,1,2,0,0,0,10,489,1,0,48
16,0,1,0,0,0,1,3,412,1,0,32
17,1,1,1,0,0,2,2,404,1,0,30
18,2,1,2,0,0,0,10,489,1,0,48
19,0,1,0,0,0,1,3,412,1,0,32
20,1,1,1,0,0,2,2,404,1,0,30
21,2,1,2,0,0,0,10,489,1,0,48
22,0,1,0,0,0,1,3,412,1,0,32
23,1,1,1,0,0,2,2,404,1,0,30
