hop,program_id,version,physical_slot,input,output,next_slot,gate_evaluations,program_bit_reads,valid,page_sweep_checksum,program_word_fetches
0,0,2,0,7,1,2,3,412,1,0,32
1,2,1,2,1,1,0,10,489,1,0,48
2,0,2,0,1,0,2,3,412,1,0,32
3,2,1,2,0,0,0,10,489,1,0,48
4,0,2,0,0,0,2,3,412,1,0,32
5,2,1,2,0,0,0,10,489,1,0,48
6,0,2,0,0,0,2,3,412,1,0,32
7,2,1,2,0,0,0,10,489,1,0,48
8,0,2,0,0,0,2,3,412,1,0,32
9,2,1,2,0,0,0,10,489,1,0,48
10,0,2,0,0,0,2,3,412,1,0,32
11,2,1,2,0,0,0,10,489,1,0,48
12,0,2,0,0,0,2,3,412,1,0,32
13,2,1,2,0,0,0,10,489,1,0,48
14,0,2,0,0,0,2,3,412,1,0,32
15,2,1,2,0,0,0,10,489,1,0,48
16,0,2,0,0,0,2,3,412,1,0,32
17,2,1,2,0,0,0,10,489,1,0,48
18,0,2,0,0,0,2,3,412,1,0,32
19,2,1,2,0,0,0,10,489,1,0,48
20,0,2,0,0,0,2,3,412,1,0,32
21,2,1,2,0,0,0,10,489,1,0,48
22,0,2,0,0,0,2,3,412,1,0,32
23,2,1,2,0,0,0,10,489,1,0,48
