hop,program_id,version,physical_slot,input,output,next_slot,gate_evaluations,program_bit_reads,valid,page_sweep_checksum,program_word_fetches
0,0,1,0,7,1,1,3,412,1,1709865716,32
1,1,1,314188,1,1,2,2,404,1,2786051318,30
2,2,1,628376,1,1,0,10,489,1,3673332533,48
3,0,1,942561,1,0,1,3,412,1,1709865716,32
4,1,1,1256749,0,0,2,2,404,1,2786051318,30
5,2,1,1570937,0,0,0,10,489,1,3673332533,48
6,0,1,1885122,0,0,1,3,412,1,1709865716,32
7,1,1,2199310,0,0,2,2,404,1,2786051318,30
8,2,1,2513498,0,0,0,10,489,1,3673332533,48
9,0,1,2827683,0,0,1,3,412,1,1709865716,32
10,1,1,3141871,0,0,2,2,404,1,2786051318,30
11,2,1,3456059,0,0,0,10,489,1,3673332533,48
12,0,1,3770244,0,0,1,3,412,1,1709865716,32
13,1,1,4084432,0,0,2,2,404,1,2786051318,30
14,2,1,4398620,0,0,0,10,489,1,3673332533,48
15,0,1,4712805,0,0,1,3,412,1,1709865716,32
16,1,1,5026993,0,0,2,2,404,1,2786051318,30
17,2,1,5341181,0,0,0,10,489,1,3673332533,48
18,0,1,5655366,0,0,1,3,412,1,1709865716,32
19,1,1,5969554,0,0,2,2,404,1,2786051318,30
20,2,1,6283742,0,0,0,10,489,1,3673332533,48
21,0,1,6597927,0,0,1,3,412,1,1709865716,32
22,1,1,6912115,0,0,2,2,404,1,2786051318,30
23,2,1,7226303,0,0,0,10,489,1,3673332533,48
24,0,1,7540488,0,0,1,3,412,1,1709865716,32
25,1,1,7854676,0,0,2,2,404,1,2786051318,30
26,2,1,8168864,0,0,0,10,489,1,3673332533,48
27,0,1,8483049,0,0,1,3,412,1,1709865716,32
28,1,1,8797237,0,0,2,2,404,1,2786051318,30
29,2,1,9111425,0,0,0,10,489,1,3673332533,48
30,0,1,9425610,0,0,1,3,412,1,1709865716,32
31,1,1,9739798,0,0,2,2,404,1,2786051318,30
