hop,program_id,version,physical_slot,input,output,next_slot,gate_evaluations,program_bit_reads,valid,page_sweep_checksum,program_word_fetches
0,0,1,0,0,0,1,3,412,1,0,32
1,1,1,1,0,0,2,2,404,1,0,30
2,2,1,2,0,0,0,10,489,1,0,48
3,0,1,0,0,0,1,3,412,1,0,32
4,1,1,1,0,0,2,2,404,1,0,30
5,2,1,2,0,0,0,10,489,1,0,48
6,0,1,0,0,0,1,3,412,1,0,32
7,1,1,1,0,0,2,2,404,1,0,30
8,2,1,2,0,0,0,10,489,1,0,48
9,0,1,0,0,0,1,3,412,1,0,32
10,1,1,1,0,0,2,2,404,1,0,30
11,2,1,2,0,0,0,10,489,1,0,48
12,0,1,0,0,0,1,3,412,1,0,32
13,1,1,1,0,0,2,2,404,1,0,30
14,2,1,2,0,0,0,10,489,1,0,48
15,0,1,0,0,0,1,3,412,1,0,32
16,1,1,1,0,0,2,2,404,1,0,30
17,2,1,2,0,0,0,10,489,1,0,48
18,0,1,0,0,0,1,3,412,1,0,32
19,1,1,1,0,0,2,2,404,1,0,30
20,2,1,2,0,0,0,10,489,1,0,48
21,0,1,0,0,0,1,3,412,1,0,32
22,1,1,1,0,0,2,2,404,1,0,30
23,2,1,2,0,0,0,10,489,1,0,48
