"Metric name","Metric type","Metric unit","Metric description","NVIDIA GeForce RTX 5070 Ti Laptop GPU"
"dram__bytes_read.avg","Counter","byte","# of bytes read from DRAM (This counter metric represents the avg across all sub-unit instances)","1"
"dram__bytes_read.avg.pct_of_peak_sustained_active","Counter","%","# of bytes read from DRAM (This counter metric represents the avg percent of the peak sustained rate achieved during unit active cycles across all sub-unit instances)","1"
"dram__bytes_read.avg.pct_of_peak_sustained_elapsed","Counter","%","# of bytes read from DRAM (This counter metric represents the avg percent of the peak sustained rate achieved during elapsed cycles across all sub-unit instances)","1"
"dram__bytes_read.avg.peak_sustained","Counter","byte/cycle","# of bytes read from DRAM (This counter metric represents the avg peak sustained rate across all sub-unit instances)","1"
"dram__bytes_read.avg.peak_sustained_active","Counter","byte","# of bytes read from DRAM (This counter metric represents the avg peak sustained rate achieved during unit active cycles across all sub-unit instances)","1"
"dram__bytes_read.avg.peak_sustained_active.per_second","Counter","byte/s","# of bytes read from DRAM (This counter metric represents the avg peak sustained rate achieved during unit active cycles per second across all sub-unit instances)","1"
"dram__bytes_read.avg.peak_sustained_elapsed","Counter","byte","# of bytes read from DRAM (This counter metric represents the avg peak sustained rate achieved during elapsed cycles across all sub-unit instances)","1"
"dram__bytes_read.avg.peak_sustained_elapsed.per_second","Counter","byte/s","# of bytes read from DRAM (This counter metric represents the avg peak sustained rate achieved during elapsed cycles per second across all sub-unit instances)","1"
"dram__bytes_read.avg.per_cycle_active","Counter","byte/cycle","# of bytes read from DRAM (This counter metric represents the avg of the number of operations per unit active cycle across all sub-unit instances)","1"
"dram__bytes_read.avg.per_cycle_elapsed","Counter","byte/cycle","# of bytes read from DRAM (This counter metric represents the avg of the number of operations per elapsed cycle across all sub-unit instances)","1"
"dram__bytes_read.avg.per_second","Counter","byte/s","# of bytes read from DRAM (This counter metric represents the avg of the number of operations per second across all sub-unit instances)","1"
"dram__bytes_read.max","Counter","byte","# of bytes read from DRAM (This counter metric represents the max across all sub-unit instances)","1"
"dram__bytes_read.max.pct_of_peak_sustained_active","Counter","%","# of bytes read from DRAM (This counter metric represents the max percent of the peak sustained rate achieved during unit active cycles across all sub-unit instances)","1"
"dram__bytes_read.max.pct_of_peak_sustained_elapsed","Counter","%","# of bytes read from DRAM (This counter metric represents the max percent of the peak sustained rate achieved during elapsed cycles across all sub-unit instances)","1"
"dram__bytes_read.max.peak_sustained","Counter","byte/cycle","# of bytes read from DRAM (This counter metric represents the max peak sustained rate across all sub-unit instances)","1"
